title,score,categorias
the kid's last ride,3.5,"comedy,science fiction,action"
the kid with the golden arm,3.5,"comedy,drama"
the kid from brooklyn,3.5,"comedy,documentaries,others"
the keeping room,3.5,"comedy,drama,science fiction,action"
the jupiter enigma,3.5,documentaries
the judge,3.5,"drama,thriller,action"
the joneses,3.5,drama
the job,3.4,"comedy,drama,thriller,action"
the jazz singer,3.5,drama
the italian job (1969),3.6,comedy
the iron mask,3.5,"science fiction,action"
the irish comedy tour,3.6,"comedy,documentaries,others"
the informer,3.6,"comedy,thriller,action"
the in crowd,3.5,"drama,thriller,action"
the immortalists,3.4,documentaries
the identity theft of mitch mustain,3.5,"drama,documentaries"
the hunting of the president,3.6,documentaries
the hungry,3.6,"drama,others"
the house of suh,3.5,"comedy,documentaries"
the hound of the baskervilles,3.6,"drama,thriller,action"
the hottie and the nottie,3.5,comedy
the hollow child,3.5,thriller
the hold steady,3.6,music
the hitch hiker,3.5,drama
the hidden secrets: gangsters of the 1920s and 1930s,3.5,documentaries
the hero,3.6,"comedy,drama"
the haunting of sharon tate,3.6,"thriller,action"
the hard corps,3.6,"comedy,thriller,action"
the guv'nor,3.6,documentaries
the green glove,3.5,drama
the great war,3.5,"comedy,drama"
the great god gold,3.5,drama
the gospel of john,3.5,drama
the gospel of eureka,3.4,documentaries
the gospel live,3.6,"documentaries,others,music"
the giant killer: finding flaherty the directors cut,3.6,documentaries
the giant,3.6,"drama,science fiction,action"
the ghost army,3.5,"drama,documentaries"
the gay ranchero,3.6,"science fiction,thriller,action"
the gambler,3.6,drama
the front,3.5,"comedy,drama"
the forbidden dance,3.5,"comedy,drama,documentaries,others"
the flying deuces,3.5,comedy
the flaw,3.5,documentaries
the first american,3.5,documentaries
the fighting kentuckian,3.6,"comedy,drama,science fiction,action"
the fidel castro tapes,3.6,documentaries
the fatal hour,3.5,"thriller,action"
the farewell (4k uhd),3.5,"comedy,documentaries,others"
the fare,3.5,"comedy,drama,science fiction,action"
the far frontier,3.5,"science fiction,action"
the falls,3.6,drama
the face of jesus christ,3.5,music
the fabulous allan carr,3.5,documentaries
the extraordinary journey of the fakir,3.5,comedy
the endless summer,3.6,documentaries
the end of the world,3.5,music
the elephant man,3.5,"drama,thriller,action"
the education of little tree,3.5,drama
the eagle (no dialog),3.6,"comedy,drama"
the dying of the light,3.5,documentaries
the dragon pearl,3.5,"comedy,science fiction,animation,action"
the double born,3.6,"drama,thriller,action"
the donkey king,3.5,"comedy,animation"
the dead center,3.5,"thriller,action"
the days of noah: the valley of decision - part 3 of 4,3.4,"documentaries,music"
the days of noah: judgment hour - part 2 of 4,3.6,"documentaries,music"
the dawn express,3.5,"comedy,documentaries"
the dark red,3.5,"comedy,thriller"
the curse of robert,3.5,"thriller,documentaries"
the curse of hobbes house,3.6,thriller
the curse of buckout road,3.5,thriller
the creepy line,3.5,documentaries
the creeping flesh,3.6,"science fiction,thriller,action"
the cowboy and the senorita,3.7,"science fiction,action"
the cowboy and the lady,3.6,"comedy,drama"
the coverup,3.5,drama
the court jester,3.4,comedy
the courageous dr. christian,3.5,drama
the count of monte cristo,3.5,drama
the cotton pickin truth still on the plantation,3.6,documentaries
the corrupted,3.6,"comedy,drama,science fiction,action"
the confessor,3.6,drama
the competition,3.6,"comedy,drama,documentaries,others"
the collector,3.6,"comedy,thriller,action"
the cleansing,3.5,thriller
the christmas lodge,3.6,"comedy,drama"
the christmas elves,3.4,animation
the christmas candle,3.5,"comedy,drama,music"
the changeling,3.6,drama
the capture,3.6,"science fiction,action"
the bumble nums - season 4,3.5,"comedy,animation"
the bridgewater triangle,3.5,documentaries
the bridges at toko-ri,3.5,"comedy,drama"
the bray road beast,3.5,documentaries
the branch,3.4,comedy
the boys of st. vincent,3.5,drama
the black velvet gown,3.5,drama
the black kungfu experience,3.6,documentaries
the black candle,3.6,drama
the bishop's wife,3.6,"comedy,drama"
the bigamist,3.5,drama
the big sleep,3.5,music
the big cat,3.5,"comedy,drama"
"the big black comedy show, vol. 5",3.5,"documentaries,others"
the benefactor,3.6,drama
the beckoning silence,3.4,documentaries
the beautician and the beast,3.6,comedy
the beastmaster,3.6,"comedy,drama,science fiction,action"
the beach boys: an american band,3.5,documentaries
the basket,3.6,"drama,documentaries"
the band's visit,3.5,"comedy,documentaries,others"
the astral factor,3.5,"thriller,action"
the asian connection,3.6,"comedy,thriller,action"
the ash lad: in search of the golden castle,3.5,"comedy,science fiction,action"
the art of war ii: betrayal,3.6,"comedy,thriller,action"
the appleseed cast,3.5,music
the annuals,3.6,music
